venue,community
"neural information processing systems","ai"
"international conference on machine learning","ai"
"expert systems with applications","ai"
"ieee transactions on systems, man, and cybernetics","ai"
"ieee transactions on neural networks","ai"
"journal of machine learning research","ai"
"applied soft computing","ai"
"ieee transactions on fuzzy systems","ai"
"knowledge based systems","ai"
"neural networks","ai"
"knowledge discovery and data mining","data mining"
"ieee transactions on knowledge and data engineering","data mining"
"web search and data mining","data mining"
"acm transactions on intelligent systems and technology","data mining"
"knowledge and information systems","data mining"
"international conference on data mining","data mining"
"data mining and knowledge discovery","data mining"
"bioinformatics","computational biology"
"plos computational biology","computational biology"
"bmc bioinformatics","computational biology"
"briefings in bioinformatics","computational biology"
"database","computational biology"
"journal of theoretical biology","computational biology"
"bmc systems biology","computational biology"
"journal of mathematical biology","computational biology"
"journal of computational biology","computational biology"
"acm transactions on graphics","computer graphics"
"ieee transactions on visualization and computer graphics","computer graphics"
"computer graphics forum","computer graphics"
"computers & graphics","computer graphics"
"the visual computer","computer graphics"
"ieee computer graphics and applications","computer graphics"
